SMILES,shift_value,shielding_value
C#CC(C1=CC=CC=C1)(C(F)(F)F)O,-78.440685,275.596
C1=CC(=CC=C1C2=NC=CN2)C(F)(F)F,-60.33512,263.351
C#CCNC(=O)C(F)(F)F,-73.81353,270.3715
C1=CC(=CC=C1C(=O)O)C(C2=CC=C(C=C2)C(=O)O)(C(F)(F)F)C(F)(F)F,-61.743075,266.4736667
C1=CC=C(C(=C1)C(=O)O)C(F)(F)F,-57.258435,257.9143333
B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2C(F)(F)F,-57.584375,260.3526667
C1=CC=C2C(=C1)NC3=C(S2)C=CC(=C3)C(F)(F)F,-61.073645,263.3076667
C1=CC(=NC=C1C(F)(F)F)Br,-60.34274,269.7046667
C#CC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,-61.001925,269.8343333
B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C(F)(F)F,-60.96094,269.583
C1=CC(=CC=C1C(F)(F)F)I,-60.876355,276.207
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)OS(=O)(=O)C(F)(F)F,-70.054175,273.661875
C1CC(=O)N(C1=O)OC(=O)C(F)(F)F,-74.32559,280.708
C1=CC(=CC=C1CO)F,-115.982,311.686
C1=CC(=CC=C1C#N)F,-102.4844,300.4516667
C1=CC=C(C=C1)F,-112.26,313.5871111
C1=CC=C(C(=C1)N)F,-134.80895,332.618
C(C(F)(F)F)(C(F)(F)F)O,-73.75337,273.5315714
C(F)(F)(F)S(=O)(=O)O,-76.571905,276.0813333
C(CBr)OS(=O)(=O)C(F)(F)F,-76.56035,274.3236667
C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[Sc+3],-76.570595,279.67
C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-76.57453,279.6373333
C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[In+3],-76.60527,276.5743333
C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[Cu+2],-76.778145,285.7083333
C(F)(F)(F)S(=O)(=O)[O-].[Ag+],-76.51043,280.4113333
C(=O)(C(F)(F)F)O,-74.399685,272.4156667
