SMILES,shielding_value,shift_value
O=C1NCCC[C@@H]1NC1NCC(Cl)CC1F,409.536,-136.6
N#CC(F)(F)I,246.687,-46.5
O=C(C[C@H]1CCOC1)NC1CCC(F)CC1,401.492,-117.31
O=C(NC1CCSC1)C1CNCC(F)C1,385.803,-124.83
O=C1CCN(C2CCCN(CC(F)(F)F)C2=O)CCN1,277.7736667,-69.35
O=S(=O)(NC1CCNCC1)C1CCC(F)CC1,387.227,-106.99
FC1=C2N=CC=CC2=CC=C1,314.561,-126.0
O=C1CN(C2NCC(Cl)CC2F)CCN1,389.743,-125.75
FC(F)(F)C1=CC2=CC=CC=C2C=C1,269.376,-62.0
NC(=O)C1CC2CCCCC2CN1CC1CCCC(F)C1,382.424,-112.1
CC1CCCNC1CNC(=O)C1CCCC(F)C1,383.527,-112.46
O=C(O)C1CC(-C2CCCCC2F)NO1,397.346,-114.4
CC1NC(C(F)(F)F)CCC1N,278.1313333,-65.72
Cl.FC(F)(F)C1CCNC(C2CNC2)N1,274.9876667,-69.84
N#CC1CC(F)CCC1N[C@@H]1C[C@H]1CO,373.579,-127.21
FC1=CNC2=CC=CC=C12,372.94,-175.0
O=C(NC1CCCCC1F)NC1CCCS(=O)(=O)C1,385.247,-127.14
O=C(NCC1CC(Cl)CCN1)NC1CCC(F)CC1,388.012,-119.88
CCC1=C2C(F)=CC=CC2=CC=C1,308.305,-114.0
CCC(C)(F)F,307.516,-93.0
CCC1NNSC1C(=O)NC1CCC(F)CC1,388.076,-115.88
FCCF,447.451,-226.0
CC1CC(NC(=O)C2CCN(C)C(=O)C2)CCC1F,391.097,-121.67
CC1=CC(F)=CS1,326.022,-128.0
CC(NC(=O)NC1NCCS1)C1CCCC(F)C1,380.711,-113.33
CN(C)C(=O)C1CCC(-N2CCCC2)C(F)C1,389.946,-124.96
COC1CCC(NC(=O)NC2CC2)CC1F,391.82,-134.83
FC(F)C1=CC=CC=C1,327.937,-115.0
CC1CCC(F)CC1-N1NCC(C#N)C1N,385.644,-115.49
