SMILES,shielding_value,shift_value
[H]C1=NC(F)=C([H])N1,337.137,-140.0
[H]C1=C(Br)N=C(C(F)(F)F)S1,266.342,-66.5
O=C(O)C1(C(=O)N2CCC(C(F)(F)F)CC2)CC1,275.005,-73.99
O=C(CC(F)(F)F)C1=CC=CC=C1,274.7753333,-62.0
CN1NNCC1CN[C@@H]1CCCC[C@H]1F,376.071,-175.72
CC1=NC(C)=C(C(F)F)S1,317.7055,-102.0
C=C(C)F,279.248,-88.0
[H]/C(CCC)=C(/[H])CC(F)(F)F,275.6776667,-67.55
O=C(C1[NH]CCC1C1CC1)N1CC(CF)C1,425.99,-228.41
CN1CCN(C(=O)C2CCN(CC(F)F)N2)CC1=O,330.574,-123.8
CC1CC2CCCCC2C1NC(=O)CC(F)(F)F,274.781,-62.86
FC1=C(F)C=CC=C1,333.452,-139.0
[H]N1C=C(F)C(=O)N([H])C1=O,368.03,-171.0
CN1CCNC(N2CCCC(C(F)(F)F)C2)C1=O,283.8506667,-72.01
FC(F)(F)C1=NC=CS1,266.0266667,-60.0
CCC(=O)NC1CCC(C(F)(F)F)NN1,287.3246667,-66.65
CC1C[NH]CC1C(=O)N[C@@H]1CCCC[C@H]1F,400.524,-175.93
CN1CCN(C(=O)NC2CCC(C(F)(F)F)CC2)CC1,284.5716667,-61.53
CCC1NCSC1NC(=O)C1(C)CC1F,414.72,-210.5
O=C(COC(F)F)N1C[C@@H]2C[C@H]1CS2,292.041,-85.07
FC(F)(Cl)OC1=CC=C(Cl)C=C1,237.533,-26.0
Cl.NCC1CNCC(C(F)(F)F)C1,269.424,-63.01
CCS(=O)(=O)N1CCN(C(C)C(F)(F)F)CC1,278.3716667,-70.96
CC1NC(N2CC(CF)C2)CCC1C#N,425.287,-227.39
CC1CCC(NC(=O)N2CCC(O)C2)CC1OC(F)F,280.943,-81.04
CC1CC(N)N(-C2CC(C(F)(F)F)CCC2Cl)N1,283.951,-62.47
O=C(C1CCCCC1C(F)(F)F)N1CCSCC1,271.5033333,-59.66
[H]/C(C(=O)C1=CC=CC=C1)=C(/[H])C(F)(F)F,275.2043333,-66.0
C=C(F)CI,287.414,-97.0
NCC1CCCC(C(F)(F)F)N1,279.913,-67.76
O=C(O)C(F)F,337.1525,-127.0
CCOC(=O)C(C)F,402.448,-185.0
OCCF,434.774,-227.0
O=C(O)CC1CCN(C(F)F)N1,314.4685,-94.85
CON(C(=O)OCC(Cl)(Cl)Cl)C(C)(F)F,288.208,-77.0
CCCC/C=C/C(F)(F)F,274.23,-65.0
CCCCCC(F)C1=CC=CC=C1,396.355,-170.0
CC(F)CCN1CCS(=O)(=O)CC1,394.23,-171.87
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCNC1=O,283.31,-62.26
[H]C1=CC=C(OC(F)F)C=C1,286.494,-76.0
FC1=NC=CC2=CC=CC=C21,269.139,-71.0
O=C(CC1CCC1)N1CCC[C@@H]1C(F)F,333.6205,-125.38
OC/C=C(/F)C1=CC=CC=C1,290.606,-98.0
O=C(O)C1C(C(F)F)NC2N1CCCC2,338.4525,-113.31
CS(=O)(=O)C1NCCN1CC(F)(F)F,279.5693333,-71.63
O=C(O)CN1CC(Cl)C(C(F)(F)F)N1,281.12,-62.21
O=S(=O)(CF)CC1=CC=CC=C1,415.645,-212.0
O=C1NC(-C2CCCCC2)CC(C(F)(F)F)[NH]1,288.5133333,-70.31
O=C(C1CC1)N1CCOC(C2CCCCC2C(F)(F)F)C1,273.4513333,-58.36
FC(F)C1=NC=CN1,318.5905,-114.0
OC1=CC=C(SC(F)F)C=C1,297.408,-89.0
CN(C)CC(F)F,329.295,-100.0
CCOP(=O)(CC(F)F)OCC,320.7585,-111.0
CP(C)C(F)(F)F,272.39,-64.0
O=C1CC(OC(F)(F)F)CC[NH]1,265.3143333,-57.58
N#CC(F)(F)I,246.687,-46.5
CCC(F)(F)C(=O)OC,326.1225,-108.0
CCOC(=O)C(C)(C)F,374.05,-148.0
COC1=CC=C(CF)C=C1,437.92,-199.8
CC1CSCCN(C2NCC(F)CN2)C1,392.954,-157.19
CCCCCCCCC1=C(F)C=CO1,372.82,-176.0
[H]/C(=C(/[H])C(F)(F)F)C(F)(F)F,275.0756667,-66.4
FC(F)(F)C1=CC2=CC=CC=C2N1,266.7906667,-61.0
C[C@@H]1CN(C)C[C@H](C(=O)N2CCCC(C(F)(F)F)C2)O1,284.3316667,-72.15
CCC1CN(C(=O)[C@@H]2C[C@H]2C(F)(F)F)C1,276.4213333,-66.52
CCC1NNSC1C(=O)N1CCCC(C(F)(F)F)C1,283.0196667,-71.43
CS(=O)(=O)[C@@H]1CNC[C@H]1C(F)(F)F,279.331,-69.52
OCC1CCNN1CCF,436.004,-222.29
CC1CCC(C(N)C(F)(F)F)O1.Cl,282.054,-75.22
FC(F)N1N=C(Cl)C2=CC=CC=C21,299.703,-95.0
Cl.O=C(NC1CNN(-C2CCCCC2)C1)[C@H]1C[C@H](F)CN1,384.67,-176.04
CCOC(=O)C(F)CC,396.354,-194.0
N#CC1(C(=O)N[C@@H]2CCCC[C@H]2F)CCC1,392.127,-176.67
FC(F)C1N[NH]C2C1CCC2,331.8085,-112.14
CCSC(C)F,369.594,-142.0
Cl.NC[C@@H]1C[C@H]1C1CCC(C(F)(F)F)CC1,281.0796667,-61.88
Cl.FC(F)C1[NH]NC2C1CNCC2,331.863,-113.55
CC(C)(C)C1=C2C(F)=CC=CC2=CC=C1,287.885,-96.0
OC(CN1CCCSCC1)C(F)(F)F,284.113,-78.71
OCCCF,428.646,-220.0
FC(F)(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,296.969,-95.0
FC(F)CN1CCN(C2CCCCN2)CC1,327.5405,-119.67
CCCCCCOC(=O)C(F)(F)C(=O)OCC,319.7105,-113.0
O=C(O)C1NN(CC(F)(F)F)CC1Cl,278.017,-72.12
O=S(=O)(CC1=CC=CC=C1)C(F)(F)F,281.6483333,-77.0
CC(C)(F)Cl,305.841,-87.0
CNC1CC(C(F)(F)F)NC2CCCCC12,287.339,-67.59
NC(=O)CN1CC=C(C(F)(F)F)CC1,278.9076667,-69.18
[N-]=[N+]=NC(F)(F)C1=CC=CC=C1,274.8145,-69.0
FC1(F)CCCCCCCCCCCCCC1,318.513,-91.5
Cl.N[C@@H]1C[C@H]1C1CCCCC1OC(F)(F)F,265.0453333,-57.38
FC1=CC=C(F)C=C1,312.23,-120.0
O=C(C1CCCO1)N1CCCCC1C(F)F,330.596,-124.24
[H]C1=NC([H])=C([H])C(C(F)(F)F)=N1,275.824,-70.0
CC1=C(C(F)(F)F)SC(Cl)=N1,259.2116667,-59.4
CN1CC(C(=O)O)C(C(F)(F)F)C1,277.213,-56.05
COB(OC)C(F)(F)F,275.696,-70.0
O=C(C1CCCNC1O)N1CCC(CC(F)(F)F)CC1,274.2633333,-62.98
