SMILES,shift_value,split
O=C1NCCC[C@@H]1NC1NCC(Cl)CC1F,-136.6,Train
N#CC(F)(F)I,-46.5,Train
O=C(C[C@H]1CCOC1)NC1CCC(F)CC1,-117.31,Train
O=C(NC1CCSC1)C1CNCC(F)C1,-124.83,Train
O=C1CCN(C2CCCN(CC(F)(F)F)C2=O)CCN1,-69.35,Train
O=S(=O)(NC1CCNCC1)C1CCC(F)CC1,-106.99,Train
FC1=C2N=CC=CC2=CC=C1,-126.0,Train
O=C1CN(C2NCC(Cl)CC2F)CCN1,-125.75,Train
FC(F)(F)C1=CC2=CC=CC=C2C=C1,-62.0,Train
NC(=O)C1CC2CCCCC2CN1CC1CCCC(F)C1,-112.1,Train
CC1CCCNC1CNC(=O)C1CCCC(F)C1,-112.46,Train
O=C(O)C1CC(-C2CCCCC2F)NO1,-114.4,Train
CC1NC(C(F)(F)F)CCC1N,-65.72,Train
Cl.FC(F)(F)C1CCNC(C2CNC2)N1,-69.84,Train
N#CC1CC(F)CCC1N[C@@H]1C[C@H]1CO,-127.21,Train
FC1=CNC2=CC=CC=C12,-175.0,Train
O=C(NC1CCCCC1F)NC1CCCS(=O)(=O)C1,-127.14,Train
O=C(NCC1CC(Cl)CCN1)NC1CCC(F)CC1,-119.88,Train
CCC1=C2C(F)=CC=CC2=CC=C1,-114.0,Train
CCC(C)(F)F,-93.0,Train
CCC1NNSC1C(=O)NC1CCC(F)CC1,-115.88,Train
FCCF,-226.0,Train
CC1CC(NC(=O)C2CCN(C)C(=O)C2)CCC1F,-121.67,Train
CC1=CC(F)=CS1,-128.0,Train
CC(NC(=O)NC1NCCS1)C1CCCC(F)C1,-113.33,Train
CN(C)C(=O)C1CCC(-N2CCCC2)C(F)C1,-124.96,Train
COC1CCC(NC(=O)NC2CC2)CC1F,-134.83,Train
FC(F)C1=CC=CC=C1,-115.0,Train
CC1CCC(F)CC1-N1NCC(C#N)C1N,-115.49,Train
CCN1C(NC(=O)C2CCOC2C)NC2CC(F)CCC21,-119.57,Train
CC1CC(CNC2CCNCC2F)C(C)O1,-151.11,Train
CC1NNNN1CC1CCC(C(F)F)CC1,-110.52,Train
CCC(=O)NCC1NC2CC(F)CCC2O1,-118.03,Train
NC1CC(C(F)(F)F)NCN1,-70.64,Train
FCOC1=CC=CC=C1,-149.0,Train
CC(C)CC(=O)NC1CC2C(CC1F)CCC(=O)N2,-131.62,Train
CC1[NH]NC(C(=O)NC2(C(F)F)CC2)C1C,-120.74,Train
NC(=O)[C@@H]1C[C@@H](F)CN1C(=O)C1CCCC2CC[NH]C12,-177.51,Train
CC1CCC(S(=O)(=O)N[C@@H]2CCCC[C@H]2N)C(F)C1.Cl,-112.08,Train
