SMILES,shift_value,split
[H]C1=NC(F)=C([H])N1,-140.0,Train
[H]C1=C(Br)N=C(C(F)(F)F)S1,-66.5,Train
O=C(O)C1(C(=O)N2CCC(C(F)(F)F)CC2)CC1,-73.99,Train
O=C(CC(F)(F)F)C1=CC=CC=C1,-62.0,Train
CN1NNCC1CN[C@@H]1CCCC[C@H]1F,-175.72,Train
CC1=NC(C)=C(C(F)F)S1,-102.0,Train
C=C(C)F,-88.0,Train
[H]/C(CCC)=C(/[H])CC(F)(F)F,-67.55,Train
O=C(C1[NH]CCC1C1CC1)N1CC(CF)C1,-228.41,Train
CN1CCN(C(=O)C2CCN(CC(F)F)N2)CC1=O,-123.8,Train
CC1CC2CCCCC2C1NC(=O)CC(F)(F)F,-62.86,Train
FC1=C(F)C=CC=C1,-139.0,Train
[H]N1C=C(F)C(=O)N([H])C1=O,-171.0,Train
CN1CCNC(N2CCCC(C(F)(F)F)C2)C1=O,-72.01,Train
FC(F)(F)C1=NC=CS1,-60.0,Train
CCC(=O)NC1CCC(C(F)(F)F)NN1,-66.65,Train
CC1C[NH]CC1C(=O)N[C@@H]1CCCC[C@H]1F,-175.93,Train
CN1CCN(C(=O)NC2CCC(C(F)(F)F)CC2)CC1,-61.53,Train
CCC1NCSC1NC(=O)C1(C)CC1F,-210.5,Train
O=C(COC(F)F)N1C[C@@H]2C[C@H]1CS2,-85.07,Train
FC(F)(Cl)OC1=CC=C(Cl)C=C1,-26.0,Train
Cl.NCC1CNCC(C(F)(F)F)C1,-63.01,Train
CCS(=O)(=O)N1CCN(C(C)C(F)(F)F)CC1,-70.96,Train
CC1NC(N2CC(CF)C2)CCC1C#N,-227.39,Train
CC1CCC(NC(=O)N2CCC(O)C2)CC1OC(F)F,-81.04,Train
CC1CC(N)N(-C2CC(C(F)(F)F)CCC2Cl)N1,-62.47,Train
O=C(C1CCCCC1C(F)(F)F)N1CCSCC1,-59.66,Train
[H]/C(C(=O)C1=CC=CC=C1)=C(/[H])C(F)(F)F,-66.0,Train
C=C(F)CI,-97.0,Train
NCC1CCCC(C(F)(F)F)N1,-67.76,Train
O=C(O)C(F)F,-127.0,Train
CCOC(=O)C(C)F,-185.0,Train
OCCF,-227.0,Train
O=C(O)CC1CCN(C(F)F)N1,-94.85,Train
CON(C(=O)OCC(Cl)(Cl)Cl)C(C)(F)F,-77.0,Train
CCCC/C=C/C(F)(F)F,-65.0,Train
CCCCCC(F)C1=CC=CC=C1,-170.0,Train
CC(F)CCN1CCS(=O)(=O)CC1,-171.87,Train
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCNC1=O,-62.26,Train
[H]C1=CC=C(OC(F)F)C=C1,-76.0,Train
FC1=NC=CC2=CC=CC=C21,-71.0,Train
O=C(CC1CCC1)N1CCC[C@@H]1C(F)F,-125.38,Train
OC/C=C(/F)C1=CC=CC=C1,-98.0,Train
O=C(O)C1C(C(F)F)NC2N1CCCC2,-113.31,Train
CS(=O)(=O)C1NCCN1CC(F)(F)F,-71.63,Train
O=C(O)CN1CC(Cl)C(C(F)(F)F)N1,-62.21,Train
O=S(=O)(CF)CC1=CC=CC=C1,-212.0,Train
O=C1NC(-C2CCCCC2)CC(C(F)(F)F)[NH]1,-70.31,Train
O=C(C1CC1)N1CCOC(C2CCCCC2C(F)(F)F)C1,-58.36,Train
FC(F)C1=NC=CN1,-114.0,Train
OC1=CC=C(SC(F)F)C=C1,-89.0,Train
CN(C)CC(F)F,-100.0,Train
CCOP(=O)(CC(F)F)OCC,-111.0,Train
CP(C)C(F)(F)F,-64.0,Train
O=C1CC(OC(F)(F)F)CC[NH]1,-57.58,Train
N#CC(F)(F)I,-46.5,Train
CCC(F)(F)C(=O)OC,-108.0,Train
CCOC(=O)C(C)(C)F,-148.0,Train
COC1=CC=C(CF)C=C1,-199.8,Train
CC1CSCCN(C2NCC(F)CN2)C1,-157.19,Train
CCCCCCCCC1=C(F)C=CO1,-176.0,Train
[H]/C(=C(/[H])C(F)(F)F)C(F)(F)F,-66.4,Train
FC(F)(F)C1=CC2=CC=CC=C2N1,-61.0,Train
C[C@@H]1CN(C)C[C@H](C(=O)N2CCCC(C(F)(F)F)C2)O1,-72.15,Train
CCC1CN(C(=O)[C@@H]2C[C@H]2C(F)(F)F)C1,-66.52,Train
CCC1NNSC1C(=O)N1CCCC(C(F)(F)F)C1,-71.43,Train
CS(=O)(=O)[C@@H]1CNC[C@H]1C(F)(F)F,-69.52,Train
OCC1CCNN1CCF,-222.29,Train
CC1CCC(C(N)C(F)(F)F)O1.Cl,-75.22,Train
FC(F)N1N=C(Cl)C2=CC=CC=C21,-95.0,Train
Cl.O=C(NC1CNN(-C2CCCCC2)C1)[C@H]1C[C@H](F)CN1,-176.04,Train
CCOC(=O)C(F)CC,-194.0,Train
