panel,bit_name,target_class,shift_value,shielding_value,SMILES
,Morgan_32,0,-169.65,412.359,O=C(NC1[NH]C(=O)NCC1F)C1CCCC2C1CCC2
,Morgan_32,0,-128.96,398.426,CCC1CCC2[NH]C(C(=O)O)CC2C1F
,Morgan_32,0,-123.79,385.7,CCCC1CN(C(=O)C2CC3CC(F)CCC3O2)CCO1
,Morgan_32,0,-119.82,372.476,O=C(C1CC2CC(F)CCC2O1)N1CCCCC1
,Morgan_32,0,-117.14,374.835,CCC1NCC(NC(=O)C2CC(F)CCC2C)CN1
,Morgan_32,0,-115.33,385.636,O=C(N[C@@H]1C=C[C@H](CO)C1)C1C(F)CCCC1Cl
,Morgan_32,0,-113.56,400.192,O=C(C1CCC1)N1CCOC(C2CCC(F)CC2)C1
,Morgan_32,0,-112.03,380.519,OC1CCNC(-C2CCCC(F)C2)C1
,Morgan_32,0,-101.92,380.729,N#CC1CCC(F)CC1CN1CNC(C2CCC2)CC1=O
,ECFP_F_32,0,-169.65,412.359,O=C(NC1[NH]C(=O)NCC1F)C1CCCC2C1CCC2
,ECFP_F_32,0,-128.96,398.426,CCC1CCC2[NH]C(C(=O)O)CC2C1F
,ECFP_F_32,0,-123.79,385.7,CCCC1CN(C(=O)C2CC3CC(F)CCC3O2)CCO1
,ECFP_F_32,0,-119.82,372.476,O=C(C1CC2CC(F)CCC2O1)N1CCCCC1
,ECFP_F_32,0,-117.14,374.835,CCC1NCC(NC(=O)C2CC(F)CCC2C)CN1
,ECFP_F_32,0,-115.33,385.636,O=C(N[C@@H]1C=C[C@H](CO)C1)C1C(F)CCCC1Cl
,ECFP_F_32,0,-113.56,400.192,O=C(C1CCC1)N1CCOC(C2CCC(F)CC2)C1
,ECFP_F_32,0,-112.03,380.519,OC1CCNC(-C2CCCC(F)C2)C1
,ECFP_F_32,0,-101.92,380.729,N#CC1CCC(F)CC1CN1CNC(C2CCC2)CC1=O
,Morgan_26,1,-225.87,422.854,CC1SCCC1C(=O)N1CCCC1CF
,Morgan_26,1,-165.0,383.521,CC(C)F
,Morgan_26,1,-125.54,327.53,O=C(CC1CCOC1)N1CCC[C@@H]1C(F)F
,Morgan_26,1,-120.97,334.6725,C[C@@H]1CC=CC[C@H]1C(=O)NC1(C(F)F)CC1
,Morgan_26,1,-116.82,327.839,O=C(C1CC=CC1)N1CC(CC(F)F)C1
,Morgan_26,1,-113.39,330.917,O=C(O)C1CNCC(C(F)F)C1
,Morgan_26,1,-106.0,315.9985,FC(F)C#CC1=CC=CC=C1
,Morgan_26,1,-85.03,291.705,O=C(COC(F)F)N1CC2CCCC2C1
,Morgan_26,1,-61.0,266.7906667,FC(F)(F)C1=CC2=CC=CC=C2N1
,ECFP_F_26,1,-211.0,413.054,[H]C(F)(C(=O)OCC)P(=O)(OCC)OCC
,ECFP_F_26,1,-165.0,383.521,CC(C)F
,ECFP_F_26,1,-125.54,327.53,O=C(CC1CCOC1)N1CCC[C@@H]1C(F)F
,ECFP_F_26,1,-121.0,321.2005,O=S(=O)(O)C(F)F
,ECFP_F_26,1,-116.83,328.6265,O=C(C1CCOC1)N1CC(CC(F)F)C1
,ECFP_F_26,1,-113.55,331.863,Cl.FC(F)C1[NH]NC2C1CNCC2
,ECFP_F_26,1,-107.0,302.205,CSC1=NC(=O)C=CN1C(F)F
,ECFP_F_26,1,-86.0,277.618,FC(Br)Br
,ECFP_F_26,1,-68.0,266.548,FC(F)Br
,Morgan_429,1,-148.0,374.05,CCOC(=O)C(C)(C)F
,Morgan_429,1,-81.0,288.9213333,CC(C)(C)C(F)(F)F
,Morgan_429,1,-72.36,283.829,CC1C(CN2CCCC(C(F)(F)F)C2)CNN1C
,Morgan_429,1,-69.42,260.4493333,O=C([O-])C1CCCN(CC(F)(F)F)C1=O.[K+]
,Morgan_429,1,-65.51,285.521,CC1CC(CN2NC(C(F)(F)F)NC2C)NO1
,Morgan_429,1,-63.0,272.926,FC(F)(F)/C=C/C=C/C1=CC=CC=C1
,Morgan_429,1,-61.92,279.3056667,NC1CC(C(F)(F)F)C2CN[NH]C2C1
,Morgan_429,1,-59.85,281.5236667,CN1NC(C(=O)O)C(Cl)C1C(F)(F)F
,Morgan_429,1,0.0,204.133,FC(Cl)(Cl)Cl
,ECFP_F_429,1,-148.0,374.05,CCOC(=O)C(C)(C)F
,ECFP_F_429,1,-80.44,288.872,CC1CCCCC1CC(=O)N1CCC(O)(C(F)(F)F)C1
,ECFP_F_429,1,-72.15,284.3316667,C[C@@H]1CN(C)C[C@H](C(=O)N2CCCC(C(F)(F)F)C2)O1
,ECFP_F_429,1,-69.36,276.8893333,CCC1CCN(C(=O)C(C)C(F)(F)F)C1
,ECFP_F_429,1,-65.5,275.3236667,[H]/C(=N/O)C(F)(F)F
,ECFP_F_429,1,-63.0,285.038,N[C@H]1CCN(S(=O)(=O)C2CCC(C(F)(F)F)CC2)C1
,ECFP_F_429,1,-61.92,283.3583333,CC(=O)N1CCC(C2CCC(C(F)(F)F)CC2)CC1
,ECFP_F_429,1,-59.85,281.5236667,CN1NC(C(=O)O)C(Cl)C1C(F)(F)F
,ECFP_F_429,1,0.0,204.133,FC(Cl)(Cl)Cl
