SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
O=C1OC(C(F)(F)F)C2=C1C=CC=C2,-34.0,283.4323333,283.4323333,0.0
FC(Cl)(Cl)C(F)(Cl)Cl,-39.0,269.462,268.495,-0.9669999999999844
CC1(C)OC(C(F)(F)F)C2=C1C=CC=C2,-40.0,286.407,286.384,-0.0229999999999677
O=[N+]([O-])C(F)F,-50.7,300.6315,307.438,6.806499999999971
COC(=O)C(F)(F)[N+](=O)[O-],-53.0,295.124,295.124,0.0
N#CC(F)F,-60.0,324.6195,324.6195,0.0
CC1=CC=CC(F)=C1,-68.0,307.626,307.625,-0.0009999999999763
[H]/C(F)=P/C1=C(C)C=C(C)C=C1C,-69.0,223.737,223.737,0.0
C/C=C/C(C)F,-87.0,382.722,397.62,14.898000000000025
CCOC(=O)C(F)(F)/C=C/C1=CC=CC=C1,-88.0,320.9055,320.9075,0.0020000000000095
O=C(OCF)C1=CC=CC=C1,-92.0,385.399,385.399,0.0
O=C(C1=CC=CC=C1)C(F)(F)Cl,-93.0,269.329,269.329,0.0
CCCCC(=O)OCF,-93.0,359.415,386.762,27.34699999999998
O=C(C1=CC=CC=C1)C(F)C1=CC=CC=C1,-99.0,394.872,397.17,2.298000000000002
N#CC1CCC(F)CC1CN1CNC(C2CCC2)CC1=O,-101.92,380.729,397.823,17.093999999999994
FC(I)I,-102.0,277.339,277.395,0.0559999999999831
FCOC1=CC=NC(S)=N1,-102.0,362.155,380.709,18.55400000000003
O=S(=O)(C1CCC(F)CC1)N1CCCO1,-102.02,379.234,399.312,20.07800000000003
CN1CCC(CS(=O)(=O)C2CCC(F)CC2)CC1=O,-102.38,381.888,387.619,5.731000000000051
O=C(O)C1NOC2CC(F)CCC12,-102.47,379.627,403.444,23.817000000000007
CC(O)C1CCCN(CC2CC(F)CCC2C#N)C1,-102.88,374.066,385.135,11.069000000000017
N#CC1CC(C(=O)N2CCOCC23CC3)CCC1F,-103.56,382.948,392.343,9.39500000000004
O=S(=O)(CC1CCCC1)C1CCC(F)CC1,-104.04,388.286,401.865,13.579000000000008
N#CC1CC(C(=O)N2CC3CCCCC3C2)CCC1F,-104.17,391.693,391.717,0.0240000000000009
CCN1CCN(S(=O)(=O)C2CCC(F)CC2)CC1,-104.48,388.468,400.112,11.644000000000004
N#CC1C(F)CCCC1-N1CCNC1,-104.54,381.472,391.656,10.184000000000026
CC1CC2C(=O)N(CC#N)CNC2CC1F,-104.72,407.07,394.968,-12.101999999999975
CC1CC(OC2CCCC(F)C2C#N)NCN1,-105.0,382.394,389.749,7.355000000000018
FC1CC(Cl)C2CNCCC2C1,-105.07,394.363,395.982,1.6190000000000282
CN(CC1CNN(C)C1)S(=O)(=O)C1CCC(F)CC1,-105.1,381.699,388.589,6.889999999999986
