SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
O=C1OC(C(F)(F)F)C2=C1C=CC=C2,-34.0,283.4323333,284.04176745950883,0.6094341595088508
FC(Cl)(Cl)C(F)(Cl)Cl,-39.0,269.462,267.382031787519,-2.079968212480992
CC1(C)OC(C(F)(F)F)C2=C1C=CC=C2,-40.0,286.407,287.9079023916129,1.5009023916128967
O=[N+]([O-])C(F)F,-50.7,300.6315,302.51262943278243,1.881129432782416
COC(=O)C(F)(F)[N+](=O)[O-],-53.0,295.124,291.2219296226924,-3.902070377307666
N#CC(F)F,-60.0,324.6195,322.01514098627536,-2.604359013724661
CC1=CC=CC(F)=C1,-68.0,307.626,307.88168080633454,0.255680806334567
[H]/C(F)=P/C1=C(C)C=C(C)C=C1C,-69.0,223.737,224.737,1.0
C/C=C/C(C)F,-87.0,382.722,399.6120869584972,16.89008695849725
CCOC(=O)C(F)(F)/C=C/C1=CC=CC=C1,-88.0,320.9055,320.87189768499144,-0.0336023150085793
O=C(OCF)C1=CC=CC=C1,-92.0,385.399,394.3272015785894,8.92820157858938
O=C(C1=CC=CC=C1)C(F)(F)Cl,-93.0,269.329,267.6229121448529,-1.706087855147132
CCCCC(=O)OCF,-93.0,359.415,386.1745946369558,26.7595946369558
O=C(C1=CC=CC=C1)C(F)C1=CC=CC=C1,-99.0,394.872,392.8781179613744,-1.9938820386256
N#CC1CCC(F)CC1CN1CNC(C2CCC2)CC1=O,-101.92,380.729,401.2906387013812,20.561638701381185
FC(I)I,-102.0,277.339,279.09779594972565,1.758795949725652
FCOC1=CC=NC(S)=N1,-102.0,362.155,387.1389583665528,24.983958366552827
O=S(=O)(C1CCC(F)CC1)N1CCCO1,-102.02,379.234,390.1413891559398,10.907389155939825
CN1CCC(CS(=O)(=O)C2CCC(F)CC2)CC1=O,-102.38,381.888,391.3797719218265,9.491771921826512
O=C(O)C1NOC2CC(F)CCC12,-102.47,379.627,396.4955697060967,16.868569706096707
CC(O)C1CCCN(CC2CC(F)CCC2C#N)C1,-102.88,374.066,393.8538664183665,19.787866418366548
N#CC1CC(C(=O)N2CCOCC23CC3)CCC1F,-103.56,382.948,396.6482019753739,13.700201975373943
O=S(=O)(CC1CCCC1)C1CCC(F)CC1,-104.04,388.286,398.26041651955126,9.974416519551257
