feature,importance,display_label,color
Morgan_32,0.0776895486398723,Morgan_32,#4C78A8
ECFP_F_32,0.0718195757594096,ECFP_F_32,#2A9D8F
MACCS_87,0.0568010688087679,MACCS_87,#9C9C9C
Morgan_429,0.0302980436897368,Morgan_429,#4C78A8
ECFP_F_429,0.0298915124484617,ECFP_F_429,#2A9D8F
shielding_value,0.0272885916156615,DFT shielding $/sigma$,#F28E2B
Morgan_114,0.0240410303858825,Morgan_114,#4C78A8
ECFP_F_649,0.0213995127178469,ECFP_F_649,#2A9D8F
Morgan_833,0.0213984449791324,Morgan_833,#4C78A8
MACCS_128,0.0192373264637112,MACCS_128,#9C9C9C
