Model,SearchTag,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_samples,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
RandomForest,bootstrap_true,301.9253813743591,41.39058751699706,11.182247209548951,2.558106874236747,1200,5,8,1e-05,0.5,0.4,60,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 60, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-9.57204481414868,-9.660808063549151,-9.058351548760983,-8.647585857371775,-8.95341937099358,-9.178441930964834,0.38326631440279485,27,-7.976203608943572,-8.188602613545417,-8.180101480592235,-8.252036520195954,-8.115083735752842,-8.142405591806003,0.0937482461000865
RandomForest,bootstrap_true,17.78299460411072,5.527168469253352,3.241281604766846,1.0191332297164233,200,5,2,1e-07,0.7,0.8,,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': 0.8, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-7.454504052147892,-6.879929849981157,-7.123085087909696,-6.733042141645409,-7.242271077747036,-7.086566441886238,0.25637228483434077,1,-4.011249473691078,-4.020945568821519,-4.01264373474673,-4.054895919726896,-4.02944682416314,-4.025836304229872,0.015926304747762
RandomForest,bootstrap_true,485.9108838558197,17.70672619325994,3.8729334831237794,1.1341719528885221,800,5,4,1e-05,0.9,0.2,80,absolute_error,0.0,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.9, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-8.289829571342928,-7.907163923860912,-7.759799505395681,-7.343280874399043,-7.712678125000005,-7.802550399999714,0.3063390742781992,13,-5.583713422869154,-5.6915525885354175,-5.709915598739496,-5.637327778194363,-5.6504328059388245,-5.65458843885545,0.04419481997893059
RandomForest,bootstrap_true,843.849382352829,7.185039757326663,1.1948437690734863,0.41676746804481496,1200,10,8,1e-06,0.9,0.6,120,absolute_error,1e-07,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-8.786269254596316,-8.689572891686645,-8.291329526378881,-7.686704667467931,-8.27783536658654,-8.346342341343263,0.388377233083934,20,-6.739899604841934,-6.905288350340131,-6.918651235494193,-6.890595350929815,-6.789882703459305,-6.848863449013075,0.07091897341603551
RandomForest,bootstrap_true,99.66674346923828,4.888604355390276,11.58865647315979,1.5759138937612431,1200,2,4,1e-07,0.9,0.4,40,squared_error,1e-07,True,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-8.230203218982997,-7.602211577009765,-7.632473641687591,-7.2455777429049455,-7.6255758614981,-7.66720840841668,0.3168280088313095,11,-5.141283244640325,-5.125356766179929,-5.192300955887531,-5.183924827782069,-5.112630752436659,-5.151099309385303,0.03166687185050075
RandomForest,bootstrap_true,126.67972512245179,12.255825022461984,8.784283304214478,0.5344950422421432,800,20,2,1e-07,0.7,,80,friedman_mse,1e-06,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-07, 'max_samples': 0.7, 'max_features': None, 'max_depth': 80, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06, 'bootstrap': True}",-7.983920119400902,-7.31591990897896,-7.462477966352518,-7.0591274382568,-7.675046540125468,-7.499298394622929,0.3144771885328803,6,-5.338841790468528,-5.250366086599776,-5.312123606044459,-5.360607875528762,-5.381929789147541,-5.3287738295578135,0.04553093554607292
RandomForest,bootstrap_true,829.7471766471863,7.895194416978831,2.162718629837036,0.2881758502591851,1200,20,1,1e-06,0.7,0.2,40,absolute_error,0.0,True,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-8.092983353317331,-7.464155365707431,-7.5974516286970255,-7.39433202123393,-7.565780158253205,-7.622940505441785,0.24589909581763567,9,-5.170501172969165,-5.19329530312124,-5.247989350740283,-5.268791474205142,-5.258151014797012,-5.2277456631665675,0.03868542325833013
RandomForest,bootstrap_true,14.161393213272095,7.013625840190834,3.4916561603546143,1.7546586227718115,200,5,4,1e-07,0.5,0.6,120,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.5, 'max_features': 0.6, 'max_depth': 120, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-8.66075404864353,-8.28106556807194,-8.2474312873697,-7.640994456153654,-8.159801825142676,-8.1980094370763,0.32716935256800017,18,-6.195377985164008,-6.2574319275259604,-6.318895815242638,-6.305530068430659,-6.186544415581089,-6.252756042388871,0.05451174599121769
RandomForest,bootstrap_true,15.213560438156128,9.072214055755328,3.9935853481292725,1.7133895574722762,400,10,1,1e-05,0.7,log2,80,squared_error,0.0,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-13.917263227827913,-13.030551350925785,-13.537440712566903,-13.724845079351544,-12.544167673340732,-13.350853608802577,0.49976793789355617,43,-10.095158782955888,-10.2704806177,-10.332282086016098,-10.341426249910926,-10.412569258789597,-10.290383399074502,0.10751653672654973
RandomForest,bootstrap_true,119.19118199348449,12.419250687179487,7.407967948913575,2.277769950111481,800,10,8,1e-06,0.7,sqrt,120,absolute_error,0.0,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 8, 'min_impurity_decrease': 1e-06, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 120, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-13.415502188249375,-12.413344454436421,-12.419543929856104,-13.010053019831709,-11.768233683894229,-12.605335455253568,0.5643199187071799,42,-11.910157034063609,-11.75827841761703,-11.979587867647039,-11.994396303239332,-11.974219784793037,-11.923327881472009,0.08743076024011359
