SMILES,shift_value,shielding_value,reg_class,reg_prob,priority_class,residual_to_target_line
FC(Cl)(Cl)Cl,0.0,204.133,1,0.999511204390714,1,7.316316465796348
FC(F)(F)Br,-5.0,218.2356667,1,0.999635163252252,1,15.129134433562342
FC(F)(F)I,-5.1,205.066,1,0.9954434202499032,1,3.063983039659684
FC(F)(Br)OC1=CC=CC=C1,-13.0,219.895,1,0.9909450848408156,1,8.636702893699947
COC(=O)F,-19.0,221.116,1,0.934584876164816,1,3.746028602903749
FC(F)(Br)SC1=CC=CC=C1,-22.0,223.0715,1,0.875744394827808,1,2.5226759610921192
FC(F)(Cl)OC1=CC=C(Cl)C=C1,-26.0,237.533,1,0.9234453423691038,1,11.661507855973952
CCCCCCCCOC(F)(F)Cl,-27.0,237.128,1,0.895786029714249,1,10.293549696901437
FC(F)(F)Cl,-28.0,231.866,1,0.7852822155005996,1,4.512819244951942
FC1=NC(F)=NC(F)=N1,-33.0,227.953,0,0.5883957737342584,1,4.042292548753608
O=C1OC(C(F)(F)F)C2=C1C=CC=C2,-34.0,283.4323333,1,0.9414988294870392,0,45.36282682813123
FC(F)(I)CCI,-39.0,234.641,0,0.6980655291347984,1,3.965985961403078
FC(Cl)(Cl)C(F)(Cl)Cl,-39.0,269.462,1,0.7648216242027581,0,27.670238870853662
CC1(C)OC(C(F)(F)F)C2=C1C=CC=C2,-40.0,286.407,1,0.7571097200590329,0,42.065426538714746
C=CC(F)(F)I,-42.0,243.7865,0,0.6473638711326396,1,1.343054393652892
FC(F)(OC1=CC=CC=C1)SC1=CC=CC=C1,-43.0,245.178,0,0.6607874928704479,1,1.607285945132901
FC(F)(F)SC1=CC=CC=C1,-43.0,249.439,0,0.6021236697860847,1,5.478569194041484
CC1=NC(F)=NC(Cl)=C1,-44.0,243.062,0,0.7194144899543645,1,1.315181868687915
FC1=NC=CC=N1,-44.0,244.226,0,0.7041485253297487,1,0.2576428633535954
FC(F)(Br)C1=CC=CC=C1,-44.0,249.622,0,0.6348811732895959,1,4.644831769622414
CCCCCC(F)(F)Br,-44.0,253.4,0,0.5899810398100547,1,8.077290843637115
CC(F)(Cl)Cl,-44.0,255.543,0,0.5665148227417034,1,10.0242892013961
FC(F)(Br)C1=CC=C(C(F)(F)Br)C=C1,-46.0,251.304,0,0.6770014431636765,1,4.172993803103793
CC(F)(F)Cl,-46.0,256.331,0,0.6285793504845456,1,8.740217668924856
N#CC(F)(F)I,-46.5,246.687,0,0.7376736812210991,1,0.5217292103228317
CCCCSC(F)(F)F,-48.0,251.1306667,0,0.7275288289068595,1,2.0155137982298186
FC(F)(SC1=CC=CC=C1)SC1=CC=CC=C1,-49.0,251.8545,0,0.7415928746506988,1,1.673144337843098
CCCCCCCCC(F)(F)Cl,-49.0,265.97,0,0.6579915719190839,1,14.497621854850678
CCCCNC(F)(F)F,-49.0,270.5233333,0,0.6456706324338474,1,18.63450120969404
FC(F)(Cl)C1=CC=C(C(F)(F)Cl)C=C1,-50.0,261.837,0,0.6997588265010662,1,9.742631554982268
O=[N+]([O-])C(F)F,-50.7,300.6315,0,0.8110213849470379,0,44.28893477013939
CN(C)C(=O)C(F)(F)I,-51.0,252.603,0,0.7692115602778995,1,0.3531855281289893
FC(Cl)(Br)CC1=CC=CC=C1,-52.0,253.23,0,0.7786332993044254,1,0.0771607293069109
C#CC(F)(F)F,-52.0,257.407,0,0.7567573035398993,1,3.717805271794021
FC(F)(F)C1=C(C(F)(F)F)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,-52.3,256.5516667,0,0.764991266756572,1,2.640701897815248
CC1NC(NC(=O)[C@@H]2CCCO2)SC1C(F)(F)F,-52.63,273.408,0,0.7337381864598692,1,17.62533244048364
FC(F)(F)C#CC(F)(F)F,-53.0,259.0275,0,0.763489263260012,1,4.190092177416261
FC(F)(F)C1=C(C2=CC=CC=C2)NC2=CC=CC=C21,-53.0,260.3763333,0,0.7586020417965593,1,5.415559382264945
C#CC1=CC=C(C(F)(F)F)S1,-53.0,262.7856667,0,0.751192622954841,1,7.604531931538787
COC(=O)C(F)(F)[N+](=O)[O-],-53.0,295.124,0,0.8256356568986624,0,36.98515807608538
O=C(C1=CC=CC=C1)C(F)(F)I,-54.0,256.1975,0,0.7858495594450241,1,0.6189277572305798
CN(C)C(=O)C(F)(F)Br,-54.0,258.5345,0,0.7769583141219082,1,2.742182615878619
CC1=CC=C(S(=O)(=O)OC(F)(F)F)C=C1,-54.0,259.4823333,0,0.7737573997691582,1,3.603325816312264
OC(F)(F)F,-54.0,263.4623333,0,0.7630942330057255,1,7.219309700531056
NC1NCC(C(F)(F)F)S1,-54.77,279.1156667,0,0.7816977553466619,1,20.670968320808303
FC(F)(F)C1CCCNC1N1CCC2(CCCOC2)C1,-54.96,279.2116667,0,0.784827495634799,1,20.568188032588477
FC(F)(F)C1=CC=CS1,-55.0,262.568,0,0.77615943121488,1,5.406773318641541
FC(Cl)(Cl)CC1=CC=CC=C1,-56.0,261.501,0,0.7870843788297432,1,3.43736256375172
CC1=CC(C(F)(F)F)=C(C)N1CC(C)C,-56.0,264.2503333,0,0.7828698096883895,1,5.935238168059811
FC(F)(F)C1=NC(Cl)=C(Cl)S1,-56.0,267.025,0,0.780869272507148,1,8.45613014576793
FC(F)(OC1=CC=CC=C1)OC1=CC=CC=C1,-56.0,268.402,0,0.780732849569024,1,9.707187886614491
CN1CC(C(=O)O)C(C(F)(F)F)C1,-56.05,277.213,0,0.7937033609839498,1,17.662322058436544
O=S(=O)(C1CCCCC1OC(F)(F)F)N1CCCC1,-56.35,265.6603333,0,0.784626716379936,1,6.866277684830742
CC1N[NH]CC1C(F)(F)F,-56.4,273.9536667,0,0.7903186768864665,1,14.3510917352964
CN1NCC(C(F)(F)F)C1C(=O)O,-56.64,277.517,0,0.8012388783161382,1,17.348517812406996
FC(F)(F)C1=CC2=CC=CC=C2S1,-57.0,263.862,0,0.7908889843835091,1,4.582422350344871
C#CC1=C(C(F)(F)F)C=CO1,-57.0,265.837,0,0.7896259518463637,1,6.376786212488582
N=C(C1=CC=CC=C1)C(F)(F)F,-57.0,274.3926667,0,0.7971932257986674,1,14.14994020895773
Cl.N[C@@H]1C[C@H]1C1CCCCC1OC(F)(F)F,-57.38,265.0453333,0,0.7925279514738921,1,5.277526406239154
O=C1CC(OC(F)(F)F)CC[NH]1,-57.58,265.3143333,0,0.7936576216426493,1,5.321923306956464
O=C(C1CCC(OC(F)(F)F)CC1)N1CCOCC1,-57.79,264.161,0,0.7953908752320392,1,4.064075410993432
O=C(C1CCC(OC(F)(F)F)CC1)N1CCC(O)CC1,-57.79,265.844,0,0.7947867603778211,1,5.593145983139202
CCOC(=O)C(F)(F)I,-57.9,258.707,0,0.8032065094458644,1,1.00109446451642
CCCOC(=O)CC(F)(F)Cl,-58.0,254.223,0,0.8151970939847358,1,5.174981835580951
CCOC(=O)C(F)(Br)OC1=CC=CC=C1,-58.0,258.623,0,0.8037209330002572,1,1.1774117123240444
N#CC1=CC(C(F)(Br)Br)=CC=C1,-58.0,261.133,0,0.7993923967360298,1,1.1030203352611636
O=C(C1=CC=CC=C1)C(F)(F)Br,-58.0,261.4085,0,0.7990212900900453,1,1.3533227372969066
FC(F)(F)OC1=CC=CC=C1,-58.0,264.739,0,0.7962123072119082,1,4.379210759003087
[H]C(=C1CCCCC1)C(F)(F)F,-58.0,265.2296667,0,0.7960636529478796,1,4.825000427275171
FC(F)(F)OC1CC2CCC21,-58.0,266.1956667,0,0.7959716622766019,1,5.702648777062933
[H]/C(C1=CC=CC=C1)=C(/[H])C(F)(F)F,-58.0,266.3953333,0,0.7959858633481441,1,5.884053603147549
C[Si](C)(C)C(F)(F)Cl,-58.0,269.445,0,0.7976121603022415,1,8.654793713559258
CC1(C)OB(CC(F)(F)F)OC1(C)C,-58.0,270.378,0,0.7986334512568883,1,9.502460287422592
OCC1NC(-C2CCCCC2C(F)(F)F)NS1,-58.25,277.506,0,0.8160679016604252,1,15.728523887098817
O=C(C1CC1)N1CCOC(C2CCCCC2C(F)(F)F)C1,-58.36,273.4513333,0,0.8062417837122822,1,11.934702418988664
FC(F)(F)C1CCCCC1C1CNCCO1,-58.37,275.515,0,0.8112494932517156,1,13.79962340632506
CN1CCCC(NC(=O)C2CCCCC2C(F)(F)F)C1=O,-58.57,282.9043333,0,0.8383104672895304,1,20.31311841334047
CC1NOC(C)C1NC(=O)C1CCCCC1C(F)(F)F,-58.88,281.7803333,0,0.836070933948401,1,18.98192095458113
CCCC/C=C/C(F)(F)F,-59.0,265.9546667,0,0.8006296696532512,1,4.483690958948188
[H]/C(CCCC)=C(/[H])C(F)(F)F,-59.0,265.955,0,0.8006297544461964,1,4.483993774884993
FC(F)(F)C1=CC=CN1,-59.0,266.1886667,0,0.8006968621560333,1,4.696289006412286
CP(C)CC(F)(F)F,-59.0,268.9643333,0,0.8026580915660015,1,7.218089431930991
[H]C1=C(C(F)(F)F)ON=C1C,-59.0,270.8586667,0,0.8052105481507568,1,8.939164569050916
CCN(CC)C(F)(F)F,-59.0,271.113,0,0.805626546237892,1,9.1702362057394
CN1CCC(NC(=O)C2CCCCC2C(F)(F)F)N1,-59.08,280.7993333,0,0.8336232010924332,1,17.89064452482775
CNC1CCC(OC(F)(F)F)CN1,-59.17,265.8943333,0,0.8012392129672831,1,4.2588757322948965
O=C(O)CC1CC(C(F)(F)F)CO1,-59.35,279.368,0,0.8300177266900358,1,16.32022288016801
CC1=C(C(F)(F)F)SC(Cl)=N1,-59.4,259.2116667,0,0.805889133019012,1,2.0425852549430417
CN(C)C(=O)C1C[NH]C(C(F)(F)F)C1,-59.53,283.888,0,0.8493418112969717,1,20.246817643150138
FC(F)(F)C1=CC=CC=C1C(F)(F)F,-59.6,267.4843333,0,0.8035993846215602,1,5.273452208653644
